feature,positive_mean,negative_mean,difference,label_correlation
all_text_query_coverage,0.8154199682539682,0.07497726984126984,0.7404426984126984,0.8288932366481766
location_match,0.8324,0.0136,0.8188000000000001,0.8286855157575619
description_query_coverage,0.6235545317460317,0.049145,0.5744095317460317,0.6919967447065148
title_query_coverage,0.5446493571428572,0.013979658730158731,0.5306696984126985,0.6626670147168593
params_query_coverage,0.39273216666666666,0.04509075396825397,0.3476414126984127,0.5051074521871923
exact_query_in_title,0.35428,0.00226,0.35202,0.4598684756655205
exact_query_in_description,0.33784,0.00362,0.33421999999999996,0.44411919281800566
params_filter_coverage,0.6491684837123765,0.360623982383888,0.28854450132848847,0.3476120863220813
log_train_click_frequency,1.0743821875772301,0.8343110010113699,0.24007118656586024,0.2588801394540045
log_reviews,3.1432950310590617,2.943175312918115,0.20011971814094665,0.06256688042242078
rating,4.5491967304002285,4.475195087956554,0.07400164244367424,0.02782414381179323
phone_visible,0.87846,0.87186,0.00660000000000005,0.00998374155486672
messages_allowed,0.97934,0.97764,0.0017000000000000348,0.005858959887970134
category_match,0.9999,0.99994,-4.0000000000040004e-05,-0.00223615742558586
