variant,location_boost,mode,queries,recall_at_50,queries_with_hit,benchmark_mix_63_cold_37_warm
title,0.0,cold,2500,0.188,487,0.19525105128205128
title,0.05,cold,2500,0.2219,574,0.22959505128205132
title,0.1,cold,2500,0.24544666666666667,635,0.25569376923076925
title,0.2,cold,2500,0.27762666666666663,714,0.28812043589743586
title,0.3,cold,2500,0.29503999999999997,758,0.30590376923076923
title,0.5,cold,2500,0.30892,793,0.3197344358974359
title,0.0,warm,2500,0.2075974358974359,549,0.19525105128205128
title,0.05,warm,2500,0.24269743589743595,637,0.22959505128205132
title,0.1,warm,2500,0.27314153846153844,715,0.25569376923076925
title,0.2,warm,2500,0.3059882051282051,794,0.28812043589743586
title,0.3,warm,2500,0.32440153846153846,841,0.30590376923076923
title,0.5,warm,2500,0.33814820512820515,875,0.3197344358974359
title_params,0.0,cold,2500,0.21284666666666663,549,0.21782838461538462
title_params,0.05,cold,2500,0.2892133333333333,745,0.29606971794871795
title_params,0.1,cold,2500,0.3342133333333333,857,0.3424757179487179
title_params,0.2,cold,2500,0.36923999999999996,945,0.37899187179487176
title_params,0.3,cold,2500,0.375,961,0.3847148717948718
title_params,0.5,cold,2500,0.37568,962,0.3856908717948718
title_params,0.0,warm,2500,0.22631076923076926,594,0.21782838461538462
title_params,0.05,warm,2500,0.30774410256410256,801,0.29606971794871795
title_params,0.1,warm,2500,0.35654410256410257,925,0.3424757179487179
title_params,0.2,warm,2500,0.39559641025641024,1021,0.37899187179487176
title_params,0.3,warm,2500,0.40125641025641023,1036,0.3847148717948718
title_params,0.5,warm,2500,0.4027364102564102,1039,0.3856908717948718
all_text,0.0,cold,2500,0.23608,608,0.24086438461538462
all_text,0.05,cold,2500,0.3451066666666667,880,0.34807188461538463
all_text,0.1,cold,2500,0.42557333333333336,1084,0.43183060256410255
all_text,0.2,cold,2500,0.45374666666666674,1152,0.463074935897436
all_text,0.3,cold,2500,0.4561466666666667,1158,0.46510493589743596
all_text,0.5,cold,2500,0.4561466666666667,1158,0.465252935897436
all_text,0.0,warm,2500,0.24901076923076926,652,0.24086438461538462
all_text,0.05,warm,2500,0.35312076923076924,915,0.34807188461538463
all_text,0.1,warm,2500,0.44248487179487184,1145,0.43183060256410255
all_text,0.2,warm,2500,0.4789582051282052,1229,0.463074935897436
all_text,0.3,warm,2500,0.4803582051282052,1232,0.46510493589743596
all_text,0.5,warm,2500,0.4807582051282052,1233,0.465252935897436
