document_variant,model,mode,queries,recall_at_50,queries_with_hit,benchmark_mix_63_cold_37_warm
all_text,bm25,cold,2500,0.32677333333333336,831,0.310856217948718
all_text,bm25,warm,2500,0.28375410256410255,743,0.310856217948718
title,bm25,cold,2500,0.23854666666666666,618,0.24254171794871793
title,bm25,warm,2500,0.24934410256410255,655,0.24254171794871793
title_params,bm25,cold,2500,0.2509133333333333,647,0.24990105128205128
title_params,bm25,warm,2500,0.2481774358974359,647,0.24990105128205128
all_text,tfidf,cold,2500,0.22836000000000004,587,0.2219950512820513
all_text,tfidf,warm,2500,0.21115743589743588,550,0.2219950512820513
title,tfidf,cold,2500,0.21663333333333332,562,0.21967871794871793
title,tfidf,warm,2500,0.22486410256410255,590,0.21967871794871793
title_params,tfidf,cold,2500,0.21204666666666666,547,0.21322971794871795
title_params,tfidf,warm,2500,0.21524410256410256,562,0.21322971794871795
